,Sample Site,Coliform (Quanti-Tray) (MPN /100mL),X coordinate,Y coordinate,lon,lat
285,41900,1,1040557,209716,-73.79680312954567,40.742118517273056
286,42100,1,1019954,199151,-73.87120969923218,40.71322749734049
287,43050,1,1026611,193874,-73.84723008296605,40.69871401153568
288,43150,1,1026601,183111,-73.84733383367897,40.669172154049534
289,43650,1,1029519,219268,-73.83657182532346,40.7683997390227
290,43900,1,1048519,218452,-73.76798704660125,40.76604224097372
291,44950,1,1023963,199221,-73.85674819820557,40.71340252395139
292,45050,1,1060423,215516,-73.72504674246426,40.75788913195116
293,45750,1,1026111,177745,-73.84913350675835,40.65444603895504
294,46150,1,1052304,156146,-73.75495250603633,40.594998840223944
295,46450,1,1035671,218150,-73.81437079827653,40.76529745088887
296,46950,1,1030452,196724,-73.83335845634777,40.706517331660606
297,47150,1,1033893,228531,-73.82071260667132,40.79380070524039
298,50200,1,960455,169298,-74.08572727911978,40.63132824327583
299,50300,1,955759,163383,-74.10262084105352,40.61507898360471
